Member Number,Cancellation Date
10517999,20120430
10525041,20121130
10525026,20130228
10564922,20130228
10559198,20121031
10693617,20130605
10693617,20130605
10693617,20130605
10523499,20121031
10523504,20121031
10812726,20150930
10524624,20121231
10524635,20120731
10521973,20120410
10521979,20120419
10519733,20121031
10509496,20121231
10517780,20120930
10514460,20130228
10515502,20121130
10514447,20120319
10501704,20130531
10498474,20120417
10499478,20120714
10499499,20120331
10647001,20130430
10511993,20120930
10524489,20120630
10523298,20121106
10521751,20120327
10522818,20120731
10517257,20131231
10517282,20130630
10543687,20150131
10518425,20120831
10514533,20120930
10515580,20121231
10515620,20120831
10510052,20120831
10510056,20120829
10493047,20140729
10494091,20121031
10508093,20120731
10159747,20130831
10517573,20121130
10517574,20120731
10518680,20121130
10243120,20150228
10287192,20150721
10516969,20121031
10514240,20121031
10499306,20121231
10499315,20130131
10499330,20121031
10562754,20120930
10519896,20120330
10511787,20121031
10526194,20120731
10524287,20121231
10521687,20121130
10521082,20120930
10539927,20120831
10523462,20130228
10521137,20120430
10521123,20120831
10521129,20120930
10521132,20121130
10521074,20121107
10521088,20130228
10521089,20120425
10521114,20130131
10521071,20120930
10521682,20120630
10521995,20121130
10499576,20121231
10496342,20121231
10508696,20121031
10492807,20130203
10506733,20120930
10539002,20140331
10503402,20120502
10508102,20120630
10516263,20120529
10503924,20140930
10505914,20121031
10505926,20120531
10535735,20121031
10519634,20130331
10736339,20131130
10499355,20120531
10494968,20120930
10506565,20121130
10507666,20121031
10491549,20130306
10493122,20121002
10508144,20120930
10597971,20121106
10597971,20121106
10496407,20120731
10505696,20121031
10505730,20120731
10501787,20120731
10497511,20150930
10559913,20121013
10496947,20120930
10518561,20130131
10491362,20130228
10495113,20121130
10655217,20130531
10655217,20130531
10497325,20130430
10492939,20120630
10492962,20120630
10503512,20130402
10122063,20151231
10516991,20130630
10501624,20121001
10498393,20121031
10498405,20130414
10498405,20130414
10498405,20130414
10708351,20150228
10492464,20121231
10493481,20140309
10493481,20140309
10505768,20120930
10505778,20120502
10505798,20120502
10494834,20120531
10587672,20130228
10494843,20121031
10492711,20120613
10492728,20121231
10483198,20130630
10478635,20130630
10496075,20130905
10496078,20131027
10493863,20121130
10493866,20121231
10493876,20130131
10504317,20120731
10504340,20120627
10491644,20121031
10499256,20120714
10499246,20120630
10494879,20120731
10457304,20121231
10596636,20130630
10493302,20120930
10505573,20121031
10503567,20121130
10689617,20140331
10490849,20121031
10490857,20121231
10490886,20121231
10490880,20121231
10485319,20150131
10487520,20160201
10493574,20130930
10493574,20130930
10493580,20121106
10492476,20140130
10505329,20120531
10479560,20150331
10479571,20130228
10479575,20130228
10476271,20130831
10494724,20121031
10495815,20120831
10495827,20120831
10501176,20120714
10476518,20140430
10476520,20131031
10477644,20121031
10474317,20150630
10475456,20120930
10504389,20120930
10904257,20150228
10810897,20150131
10486247,20150131
10506212,20121031
10513762,20121231
10508394,20130430
10508395,20121130
10480486,20141031
10480510,20140131
10663871,20130611
10479335,20130131
10494538,20121114
10491250,20140831
10538903,20131031
10481003,20140831
10496650,20121031
10478498,20130305
10475265,20130430
10487224,20120207
10490927,20121130
10490950,20130228
10490956,20121031
10490992,20130130
10488702,20141031
10489890,20120531
10481393,20131231
10885519,20150731
10673714,20140831
10493251,20120831
10633606,20140531
10485155,20131130
10485170,20131130
10484114,20150331
10737884,20150331
10490508,20120604
10488772,20130131
10485430,20150131
10119820,20120109
10490753,20121031
10490768,20121231
10490775,20121231
10474137,20150228
10770002,20151031
10490780,20121231
10490786,20130103
10490819,20121231
10489754,20120917
10477040,20140228
10477005,20151031
10473698,20130531
10573794,20121231
10473707,20131129
10487495,20130131
10484222,20130418
10481977,20130213
10783881,20140930
10463440,20130731
10460006,20121231
10460036,20131231
10456539,20141231
10475796,20130630
10456571,20121231
10456592,20150430
10474014,20150101
10496651,20120630
10496651,20120630
10475713,20130430
10476762,20140707
10584417,20121007
10091556,20140131
10091556,20140131
10085605,20130106
10466761,20130430
10463488,20131231
10466711,20130531
10539133,20121031
10459846,20151031
10462044,20121231
10490395,20130331
10582714,20121231
10476777,20131130
10508148,20121002
10476815,20120910
10474817,20151231
10456639,20121231
10456642,20131231
10456609,20121231
10456615,20150228
10470972,20130531
10480462,20140131
10482674,20141231
10466561,20130331
10489060,20120331
10935587,20150930
10492063,20130110
10459629,20121209
10456095,20120531
10457269,20151231
10457300,20131231
10457295,20151231
10897803,20150603
10670505,20160131
10473607,20120515
10489131,20120731
10464594,20121231
10689366,20130930
10689366,20130930
10481340,20130131
10495837,20120831
10481351,20130930
10481353,20130131
10481358,20130131
10482460,20130630
10479067,20130228
10481325,20130131
10606587,20121231
10550458,20121231
10468930,20120630
10469988,20130430
10620336,20130116
10467857,20121231
10697737,20150710
10457106,20120531
10457110,20121231
10459407,20130528
10459407,20130528
10459407,20130528
10459410,20131231
10457049,20130831
10457093,20121031
10488864,20120714
10476681,20130131
10459880,20121231
10476662,20150228
10476694,20130430
10463953,20140930
10545171,20121031
10461699,20130331
10466587,20120630
10788183,20140430
10473188,20120630
10470910,20130430
10463094,20121231
10826138,20140930
10463086,20121231
10459640,20150531
10459975,20121231
10457882,20131231
10457886,20121231
10456449,20121231
10456513,20121231
10456505,20121231
10456516,20121231
10456509,20121231
10457713,20121231
10473110,20130531
10473126,20140430
10456472,20121231
10470413,20151231
10471526,20140331
10472656,20130228
10469413,20130228
10468229,20121010
10462207,20121231
10463755,20130121
10464809,20141130
10463735,20150630
10416115,20130731
10502923,20121231
10551313,20150131
10834644,20150930
10173546,20130531
10560297,20120930
10560297,20120930
10457168,20150731
10457171,20121231
10457443,20141231
10457456,20121231
10457460,20131231
10737400,20140831
10456214,20150131
10456230,20121231
10467003,20140903
10148324,20120531
10462007,20121231
10443424,20121231
10469386,20130228
10462914,20130531
10463972,20121231
10452763,20121231
10451658,20131130
10469490,20140731
10533049,20130218
10459231,20120328
10101214,20130106
10456939,20141231
10456953,20121231
10457223,20121231
10457217,20130731
10469403,20130228
10469418,20130228
10469421,20130228
10470467,20130103
10469391,20130228
10459527,20130930
10460114,20120930
10467085,20121231
10468095,20120531
10468105,20121231
10630731,20121108
10467054,20140429
10701425,20150331
10462682,20131231
10955156,20150731
10463790,20130630
10463791,20130122
10452568,20151231
10469286,20141130
10470329,20140930
10467138,20150831
