Member Number,Current Plan Start Date,Current Plan End Date
10879381,20141004,20151103
10878908,20141003,20150202
10880501,20141008,20150207
10874319,20150324,20150923
10876538,20140929,20150328
10755447,20131007,20140206
10876634,20141013,20150212
10411331,20120702,20130801
10886629,20141027,20151126
10886637,20141027,20151126
10812634,20150417,20160616
10895542,20141125,20151224
10895300,20141124,20150323
10671571,20130307,20130706
10896839,20141129,20151228
10966539,20150720,20151119
10957364,20150712,20151111
10894056,20141118,20150317
10884665,20141020,20151119
10903343,20160103,20160502
10903343,20160103,20160502
10869737,20140911,20150110
10744255,20130911,20150310
10882501,20141013,20150212
10883651,20141016,20150415
10883658,20141016,20150215
10883690,20141016,20150415
10793019,20140122,20140521
10896035,20150630,20151029
10492288,20120208,20130215
10746236,20141017,20151116
10881557,20141010,20150209
10878983,20141003,20150202
10879160,20141003,20150202
10875393,20140929,20150428
10875394,20140926,20150425
10891844,20141110,20150309
10891891,20141110,20150309
10889051,20141031,20150227
10852300,20140714,20141113
10519721,20120323,20120722
10158978,20141201,20141201
10253167,20131003,20141002
10253167,20131003,20141002
10253167,20131003,20141002
10253167,20131003,20141002
10898389,20141204,20150103
10891746,20141110,20980210
10866621,20140902,20150101
10903011,20150102,20150501
10900288,20150415,20150814
10900288,20150415,20150814
10869492,20140910,20150309
10869495,20140910,20150309
10868562,20151008,20161107
10872615,20140919,20150118
10863321,20140901,20141231
10747190,20130919,20140118
10881617,20141010,20150209
10904719,20150506,20160605
10904719,20150506,20160605
10886062,20141027,20150226
10887091,20141028,20151127
10888696,20150707,20151106
10888696,20150707,20151106
10888696,20150707,20151106
10888707,20141031,20151129
10088111,20110104,20120104
10849788,20140704,20141103
10849788,20140704,20141103
10849788,20140704,20141103
10849788,20140704,20141103
10849788,20140704,20141103
10849788,20140704,20141103
10849788,20140704,20141103
10474696,20120117,20120416
10761835,20131025,20141124
10884087,20141018,20150417
10232062,20130920,20141119
10878719,20141002,20150201
10604667,20141001,20150930
10752225,20131001,20140331
10873877,20140923,20150122
10875155,20140926,20150125
10875188,20140926,20150325
10875193,20140926,20150325
10877402,20150401,20150501
10865056,20140829,20141228
10865090,20140901,20150930
10781535,20150301,20160331
10864790,20150913,20161112
10917830,20150203,20150602
10887197,20141028,20150227
10883751,20141016,20150215
10868895,20140908,20150107
10868897,20140908,20150107
10879286,20151106,20161205
10880613,20141008,20150207
10897000,20141129,20150428
10941339,20150418,20150817
10895421,20150401,20150401
10928247,20150313,20150712
10892787,20141113,20150312
10749927,20140126,20140525
10874110,20140924,20150123
10872854,20140921,20150120
10872856,20140921,20150120
10871150,20140916,20141216
10590538,20120821,20130827
10231557,20140207,20150210
10231557,20140207,20150210
10563417,20120622,20121021
10564277,20130101,20130701
10506531,20120229,20120628
10868300,20140907,20151006
10883163,20141015,20150214
10868268,20140907,20150106
10873347,20140922,20150121
10773200,20131201,20141231
10873366,20140922,20150121
10876031,20140929,20150328
10910375,20150506,20150905
10910375,20150506,20150905
10869801,20140911,20150110
10878424,20141001,20150530
10864824,20140829,20141228
10863166,20140822,20141221
10863166,20140822,20141221
10566882,20120629,20130728
10941155,20150817,20151216
10941155,20150817,20151216
10709598,20130725,20140824
10874936,20140925,20150124
10874939,20140925,20150324
10866787,20140902,20150101
10874926,20140925,20150124
10708328,20160120,20160519
10617336,20121010,20130209
10869890,20140911,20150310
10869892,20140911,20150310
10881628,20141010,20150409
10919866,20150210,20150909
10919866,20150210,20150909
10880387,20141008,20150407
10877745,20141001,20151031
10884627,20141029,20150428
10876809,20140930,20150429
10215894,20100612,20110615
10581215,20120730,20130730
10491138,20120206,20120605
10872253,20140918,20150117
10865146,20140901,20141231
10747167,20140319,20140918
10747167,20140319,20140918
10748434,20130923,20140922
10748859,20140401,20140731
10748859,20140401,20140731
10869006,20140911,20150110
10866237,20140901,20141231
10904089,20150905,20160104
10904089,20150905,20160104
10883828,20141020,20150219
10947269,20150512,20150911
10868926,20140910,20150109
10868958,20141001,20150131
10868992,20141001,20150131
10882078,20141012,20150211
10757785,20131201,20150101
10882898,20141014,20150413
10868032,20140905,20150104
10868035,20140905,20150104
10868040,20140905,20150104
10868042,20140905,20150104
10879774,20150206,20160505
10881355,20150209,20150608
10882795,20141016,20150615
10761669,20140224,20141223
10761687,20131024,20140223
10875778,20140928,20150127
10863522,20140825,20141224
10954422,20150602,20151001
10878081,20151101,20161231
10901004,20150105,20150604
10901004,20150105,20150604
10868652,20140908,20150107
10866897,20140905,20151004
10874644,20140925,20151024
10876885,20150930,20160329
10876916,20140930,20151229
10149401,20111005,20121005
10872628,20140919,20150118
10938871,20150409,20150808
10871677,20141001,20150131
10873546,20140922,20150121
10875356,20141011,20151110
10866872,20140903,20141203
10149296,20110927,20120927
10169728,20111102,20120302
10169729,20111102,20120302
10866563,20140902,20151001
10883205,20141015,20150214
10711125,20130805,20160805
10711125,20130805,20160805
10875289,20150124,20150623
10875289,20150124,20150623
10877842,20141001,20150131
10877862,20140930,20150329
10879114,20141005,20151104
10890719,20141112,20151211
10536776,20140725,20151024
10459248,20130129,20140227
10459248,20130129,20140227
10876465,20141001,20150331
10949525,20150516,20150915
10877851,20150401,20150930
10877851,20150401,20150930
10864945,20140829,20150928
10863187,20150922,20161121
10863189,20150922,20161121
10864205,20150801,20160801
10864229,20140828,20141227
10871592,20140917,20150116
10911577,20150520,20150919
10864925,20140831,20141230
10875868,20140928,20150327
10879634,20141006,20151105
10447419,20111129,20121228
10910294,20150119,20150518
10862639,20140820,20141219
10881777,20150211,20150610
10881777,20150211,20150610
10867781,20151005,20161104
10867814,20140905,20151004
10867926,20151005,20161104
10880462,20141007,20150406
10880474,20141014,20150413
10879654,20141006,20150405
10881791,20141031,20151129
10881311,20141009,20150208
10875483,20140927,20150326
10584708,20120806,20130905
10869332,20150908,20151109
10869332,20150908,20151109
10878108,20141001,20150430
10883272,20141015,20150214
10595929,20150601,20160131
10595929,20150601,20160131
10872455,20140930,20151029
