id,date,end,interval
10770055,Mon Nov 18 2013 00:00:00 GMT+0000 (GMT),Thu Jun 12 2014 00:00:00 GMT+0100 (BST),206
10830849,Tue Jul 29 2014 00:00:00 GMT+0100 (BST),Thu Jun 12 2014 00:00:00 GMT+0100 (BST),-47
10798430,Sat May 31 2014 00:00:00 GMT+0100 (BST),Sun Jun 01 2014 00:00:00 GMT+0100 (BST),1
10785418,Thu Jul 31 2014 00:00:00 GMT+0100 (BST),Tue May 12 2015 00:00:00 GMT+0100 (BST),285
10847052,Thu Jul 31 2014 00:00:00 GMT+0100 (BST),Wed Jul 30 2014 00:00:00 GMT+0100 (BST),-1
10847052,Thu Jul 31 2014 00:00:00 GMT+0100 (BST),Wed Jul 30 2014 00:00:00 GMT+0100 (BST),-1
10918432,Tue Mar 31 2015 00:00:00 GMT+0100 (BST),Wed Apr 01 2015 00:00:00 GMT+0100 (BST),1
10813596,Fri Jul 11 2014 00:00:00 GMT+0100 (BST),Fri Jul 11 2014 00:00:00 GMT+0100 (BST),0
10789362,Sun Nov 30 2014 00:00:00 GMT+0000 (GMT),Mon Sep 15 2014 00:00:00 GMT+0100 (BST),-76
10766664,Sun Nov 30 2014 00:00:00 GMT+0000 (GMT),Sun Nov 30 2014 00:00:00 GMT+0000 (GMT),0
10775247,Mon Jun 30 2014 00:00:00 GMT+0100 (BST),Wed May 07 2014 00:00:00 GMT+0100 (BST),-54
10780352,Fri Feb 28 2014 00:00:00 GMT+0000 (GMT),Sat Feb 01 2014 00:00:00 GMT+0000 (GMT),-27
10894719,Sun Dec 20 2015 00:00:00 GMT+0000 (GMT),Sun Dec 20 2015 00:00:00 GMT+0000 (GMT),0
10935071,Fri Jul 31 2015 00:00:00 GMT+0100 (BST),Fri Jul 31 2015 00:00:00 GMT+0100 (BST),0
10777961,Mon Aug 31 2015 00:00:00 GMT+0100 (BST),Wed Oct 01 2014 00:00:00 GMT+0100 (BST),-334
10774728,Sat Feb 14 2015 00:00:00 GMT+0000 (GMT),Sat Feb 14 2015 00:00:00 GMT+0000 (GMT),0
10766055,Wed Nov 20 2013 00:00:00 GMT+0000 (GMT),Mon Mar 03 2014 00:00:00 GMT+0000 (GMT),103
10801037,Sat Jun 14 2014 00:00:00 GMT+0100 (BST),Sat Jun 14 2014 00:00:00 GMT+0100 (BST),0
10131768,Wed Sep 30 2015 00:00:00 GMT+0100 (BST),Mon Jul 01 2013 00:00:00 GMT+0100 (BST),-821
10617834,Fri Jul 31 2015 00:00:00 GMT+0100 (BST),Fri Nov 01 2013 00:00:00 GMT+0000 (GMT),-637
10174176,Tue Mar 31 2015 00:00:00 GMT+0100 (BST),Tue Apr 01 2014 00:00:00 GMT+0100 (BST),-364
10752932,Sun Oct 13 2013 00:00:00 GMT+0100 (BST),Fri Jan 31 2014 00:00:00 GMT+0000 (GMT),110
10549057,Fri Sep 21 2012 00:00:00 GMT+0100 (BST),Fri Sep 21 2012 00:00:00 GMT+0100 (BST),0
10757650,Fri Feb 14 2014 00:00:00 GMT+0000 (GMT),Fri Feb 14 2014 00:00:00 GMT+0000 (GMT),0
10769171,Tue Sep 30 2014 00:00:00 GMT+0100 (BST),Thu Aug 14 2014 00:00:00 GMT+0100 (BST),-47
10769171,Tue Sep 30 2014 00:00:00 GMT+0100 (BST),Thu Aug 14 2014 00:00:00 GMT+0100 (BST),-47
10511346,Sat Oct 31 2015 00:00:00 GMT+0000 (GMT),Mon Sep 01 2014 00:00:00 GMT+0100 (BST),-425
10607909,Fri May 31 2013 00:00:00 GMT+0100 (BST),Tue Oct 01 2013 00:00:00 GMT+0100 (BST),123
10761251,Sat Nov 30 2013 00:00:00 GMT+0000 (GMT),Thu Nov 28 2013 00:00:00 GMT+0000 (GMT),-2
10546178,Fri Aug 31 2012 00:00:00 GMT+0100 (BST),Mon Jul 01 2013 00:00:00 GMT+0100 (BST),304
10839553,Mon Jun 30 2014 00:00:00 GMT+0100 (BST),Tue Jul 01 2014 00:00:00 GMT+0100 (BST),1
10768005,Tue Dec 31 2013 00:00:00 GMT+0000 (GMT),Wed Jan 01 2014 00:00:00 GMT+0000 (GMT),1
10760982,Thu Jul 31 2014 00:00:00 GMT+0100 (BST),Wed May 28 2014 00:00:00 GMT+0100 (BST),-64
10775890,Mon Jun 30 2014 00:00:00 GMT+0100 (BST),Wed May 07 2014 00:00:00 GMT+0100 (BST),-54
10810572,Tue Mar 31 2015 00:00:00 GMT+0100 (BST),Tue Mar 10 2015 00:00:00 GMT+0000 (GMT),-21
10771587,Sun Jan 31 2016 00:00:00 GMT+0000 (GMT),Tue Oct 06 2015 00:00:00 GMT+0100 (BST),-117
10741411,Sat Jan 31 2015 00:00:00 GMT+0000 (GMT),Tue Jan 06 2015 00:00:00 GMT+0000 (GMT),-25
10491128,Wed Jun 04 2014 00:00:00 GMT+0100 (BST),Mon Jan 07 2097 00:00:00 GMT+0000 (GMT),30168
